Title,Date
"Vikings: Season 5: Moments of Vision","20/01/2025"
"Vikings: Season 5: A Simple Story","18/01/2025"
"Vikings: Season 5: The Joke","17/01/2025"
"Vikings: Season 5: Full Moon","17/01/2025"
"Vikings: Season 5: The Message","17/01/2025"
"Vikings: Season 5: The Prisoner","17/01/2025"
"Vikings: Season 5: The Plan","17/01/2025"
"Vikings: Season 5: Homeland","17/01/2025"
"VINLAND SAGA: Season 1: Episode 9","17/01/2025"
"VINLAND SAGA: Season 1: Episode 11","17/01/2025"
"VINLAND SAGA: Season 1: Episode 19","17/01/2025"
"Vikings: Season 4: Kill the Queen","11/01/2025"
"Vikings: Season 4: A Good Treason","05/01/2025"
"Rick and Morty: Season 7: How Poopy Got His Poop Back","05/01/2025"
"Squid Game: Season 1: One Lucky Day","04/01/2025"
"Squid Game: The Challenge: Red Light, Green Light","04/01/2025"
"Squid Game: Season 1: Front Man","03/01/2025"
"Squid Game: Season 1: VIPS","03/01/2025"
"Squid Game: Season 1: Gganbu","03/01/2025"
"Squid Game: Season 1: A Fair World","03/01/2025"
"Squid Game: Season 1: Stick to the Team","03/01/2025"
"Squid Game: Season 1: The Man with the Umbrella","03/01/2025"
"Squid Game: Season 1: Hell","31/12/2024"
"Squid Game: Season 2: Friend or Foe","30/12/2024"
"Squid Game: Season 1: Red Light, Green Light","30/12/2024"
"Black Mirror: Season 3: Hated in the Nation","27/12/2024"
"Black Mirror: Season 4: Hang the DJ","23/12/2024"
"Grave of the Fireflies","23/12/2024"
"Kleo: Season 2: Beer and Schnapps","08/12/2024"
"Arcane: Season 2: The Dirt Under Your Nails","24/11/2024"
"Arcane: Season 2: Killing Is a Cycle","24/11/2024"
"Arcane: Season 2: Pretend Like It's the First Time","23/11/2024"
"Arcane: Season 2: The Message Hidden Within the Pattern","23/11/2024"
"Arcane: Season 2: Heavy Is the Crown","23/11/2024"
"Arcane: Season 1: The Monster You Created","22/11/2024"
"Arcane: Season 1: Oil and Water","22/11/2024"
"Arcane: Season 1: The Boy Savior","20/11/2024"
"Arcane: Season 1: When These Walls Come Tumbling Down","20/11/2024"
"Arcane: Season 2: Blisters and Bedrock","17/11/2024"
"Arcane: Season 2: Paint the Town Blue","17/11/2024"
"Jake Paul vs. Mike Tyson","16/11/2024"
"Arcane: Season 1: Everybody Wants to Be My Enemy","15/11/2024"
"Arcane: Season 1: Happy Progress Day!","15/11/2024"
"Arcane: Season 1: The Base Violence Necessary for Change","15/11/2024"
"Arcane: Season 1: Some Mysteries Are Better Left Unsolved","15/11/2024"
"Godzilla Minus One","14/11/2024"
"Arcane: Season 1: Welcome to the Playground","12/11/2024"
"ROMA","10/11/2024"
"Arcane: Season 2: Finally Got the Name Right","10/11/2024"
"Arcane: Season 2: Watch It All Burn","10/11/2024"
"Anne with an E: Season 2: Youth Is the Season of Hope","26/10/2024"
"Delicious in Dungeon: Episode 4: Stewed Cabbage/Orcs","14/10/2024"
"Delicious in Dungeon: Episode 3: Living Armor","14/10/2024"
"Delicious in Dungeon: Episode 2: Roast Basilisk/Omelet/Kakiage","14/10/2024"
"Delicious in Dungeon: Episode 1: Hot Pot/Tart","14/10/2024"
"Delicious in Dungeon: Episode 6: Court Cuisine/Boiled in Salt Water","13/10/2024"
"Delicious in Dungeon: Episode 24: Dumplings -2-/Bacon and Eggs","12/10/2024"
"Delicious in Dungeon: Episode 23: Griffin Soup/Dumplings -1-","12/10/2024"
"Delicious in Dungeon: Episode 22: Griffin/Familiars","12/10/2024"
"Delicious in Dungeon: Episode 21: Egg/The Golden Country","11/10/2024"
"Delicious in Dungeon: Episode 20: Ice Golem/Barometz","11/10/2024"
"Delicious in Dungeon: Episode 19: Hag/Nightmare","11/10/2024"
"Delicious in Dungeon: Episode 18: Shapeshifter","11/10/2024"
"Delicious in Dungeon: Episode 17: Harpy/Chimera","11/10/2024"
"Delicious in Dungeon: Episode 16: Cleaners/Dried with Sweet Sake","11/10/2024"
"Delicious in Dungeon: Episode 15: Dryad/Cockatrice","06/10/2024"
"Delicious in Dungeon: Episode 14: Sea Serpent","06/10/2024"
"Delicious in Dungeon: Episode 13: Red Dragon III/Good Medicine","02/10/2024"
"Delicious in Dungeon: Episode 12: Red Dragon II","02/10/2024"
"Delicious in Dungeon: Episode 11: Red Dragon I","02/10/2024"
"Delicious in Dungeon: Episode 10: Giant Frogs/Aboveground","02/10/2024"
"Delicious in Dungeon: Episode 9: Tentacles/Stew","02/10/2024"
"Delicious in Dungeon: Episode 8: Raspberries/Grilled Meat","02/10/2024"
"Delicious in Dungeon: Episode 7: Kelpie/Porridge/Broiled with Sauce","02/10/2024"
"The Wonderful Story of Henry Sugar and Three More","01/10/2024"
"Delicious in Dungeon: Episode 5: Snacks/Sorbet","01/10/2024"
"Kleo: Season 2: The Bear","14/09/2024"
"Kleo: Season 2: Object Moni","14/09/2024"
"Kleo: Season 2: The Seahorse","05/09/2024"
"Kleo: Season 1: The Purple Witch","04/09/2024"
"Kleo: Season 1: The Snipe and the Clam","04/09/2024"
"Kleo: Season 1: Object Else","24/08/2024"
"Kleo: Season 1: Uwe","23/08/2024"
"BoJack Horseman: Season 5: The Dog Days Are Over","21/08/2024"
"BoJack Horseman: Season 5: The Light Bulb Scene","21/08/2024"
"Kleo: Season 1: The Minister","21/08/2024"
"Kleo: Season 1: Snow in SÃ³ller","21/08/2024"
"Kleo: Season 1: The Reunion","21/08/2024"
"SpongeBob SquarePants: Season 7: Growth Spout / Stuck in the Wringer","04/08/2024"
"SpongeBob SquarePants: Season 7: Tentacle-Vision / I Heart Dancing","04/08/2024"
"Scott Pilgrim Takes Off: Ramona Rents a Video","04/08/2024"
"Scott Pilgrim Takes Off: Scott Pilgrim's Precious Little Life","04/08/2024"
"Exploding Kittens: Pilot","04/08/2024"
"Peppa Pig: Season 6: The Queen/Desert Island/Perfume/The Children's Fete","04/08/2024"
"The SpongeBob SquarePants Movie","04/08/2024"
"Kleo: Season 1: Big Eden","30/07/2024"
